Major,Industry,Avg_Salary,Employment_Rate
PHYSICAL AND HEALTH EDUCATION TEACHING,Education,31000,92.5332504
ART HISTORY AND CRITICISM,Humanities & Liberal Arts,31000,93.9701716
FINE ARTS,Arts,30500,91.5813704
FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,30000,93.2871806
SOCIAL WORK,Psychology & Social Work,30000,93.117208
ANIMAL SCIENCES,Agriculture & Natural Resources,30000,94.9137501
VISUAL AND PERFORMING ARTS,Arts,30000,89.7802581
TEACHER EDUCATION: MULTIPLE LEVELS,Education,30000,96.345417
MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,30000,94.809217
HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,30000,96.2180974
HUMANITIES,Humanities & Liberal Arts,30000,93.1415929
THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,29000,93.7371703
STUDIO ARTS,Arts,29000,91.0447761
COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,29000,94.4323144
MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,29000,94.0233236
ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,28000,89.72084290000001
COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,28000,95.2416
EARLY CHILDHOOD EDUCATION,Education,28000,95.9895019
OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,27500,89.2884274
DRAMA AND THEATER ARTS,Arts,27000,92.245887
COMPOSITION AND RHETORIC,Humanities & Liberal Arts,27000,91.8257793
ZOOLOGY,Biology & Life Science,26000,95.367972
EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,25000,93.4887813
CLINICAL PSYCHOLOGY,Psychology & Social Work,25000,85.0951802
COUNSELING PSYCHOLOGY,Psychology & Social Work,23400,94.6379354
LIBRARY SCIENCE,Education,22000,89.5054282
